233.89709 1.5
93.709062 3.5
17.366356 5.5
386.0178 7.5
55.898406 9.5
324.50482 11.5
183.60891 13.5
351.06262 15.5
36.682117 17.5
281.02935 19.5
130.5155 21.5
414.23986 23.5
74.919771 25.5
395.79172 27.5
217.46569 29.5
424.94591 31.5
112.24576 33.5
338.05444 35.5
166.20782 37.5
477.01235 39.5
148.50646 41.5
375.16907 43.5
265.6957 45.5
507.37692 47.5
200.69874 49.5
449.38433 51.5
295.95923 53.5
557.58406 55.5
249.97899 57.5
523.51012 59.5
436.72023 61.5
632.63127 63.5
310.46089 65.5
575.49792 67.5
363.4655 69.5
673.47813 71.5
462.83614 73.5
652.78263 75.5
404.75517 77.5
761.62083 79.5
491.86974 81.5
716.48438 83.5
593.98241 85.5
808.86498 87.5
540.25077 89.5
858.19915 91.5
613.0292 93.5
963.08396 95.5
738.78787 97.5
883.64548 99.5
694.71334 101.5
990.59256 103.5
784.98065 105.5
1047.1473 107.5
833.27177 109.5
1105.7464 111.5
909.60926 113.5
1166.3841 115.5
936.08916 117.5
1229.0556 119.5
1018.614 121.5
1293.7566 123.5
1076.1917 125.5
1326.8672 127.5
1135.8108 129.5
1394.6063 131.5
1197.4659 133.5
1464.3673 135.5
1261.1526 137.5
1536.1476 139.5
1360.4839 141.5
1609.9454 143.5
1429.2342 145.5
1685.7587 147.5
1500.0052 149.5
1763.586 151.5
1572.7945 153.5
1843.4259 155.5
1647.6002 157.5
1966.9569 159.5
1724.4207 161.5
2009.1389 163.5
1803.2544 165.5
2095.01 167.5
1884.1002 169.5
2182.8897 171.5
1925.2772 173.5
2272.7772 175.5
2051.8234 177.5
2364.6823 179.5
2138.6988 181.5
2459.2596 183.5
2227.5825 185.5
2564.9734 187.5
2318.4745 189.5
2629.1162 191.5
2411.4718 193.5
2706.3377 195.5
2509.4946 197.5
2806.7442 199.5
